Track ID,Track Name,Artist Name,Album,Release Date,Popularity,Genre
3NVGIampibL0YVG3wwaX8G,Alabama Haint,Penny and Sparrow,Alabama Haint,2021-10-22,54,acoustic
4ahfLYf0VLVVvN3sdOyQN2,HARD LOVE (feat. Lauren Daigle),NEEDTOBREATHE,The Shack: Music From and Inspired By the Original Motion Picture,2017-02-24,55,acoustic
3g61xRaqII8q1wlQDzv550,Beautiful Soul,Boyce Avenue,"Cover Sessions, Vol. 4",2017-12-19,67,acoustic
17apvgam6zK9bJ3Mww7JoB,The Best Is Yet To Come,Ben Rector,The Best Is Yet To Come,2021-12-10,50,acoustic
6J56Td7qsOpP0YighOsWL6,Misanthropic Drunken Loner,Days N Daze,Rogue Taxidermy,2013-08-23,54,acoustic
0ngtyvPUKR4YTtkVKvZP02,Dream,Priscilla Ahn,A Good Day,2008-01-01,57,acoustic
14J3PO0VnhtcRa31r7Aj1L,I Could Not Ask for More,Edwin McCain,Messenger,1999-06-04,59,acoustic
60S0LkuUyzHzX29KWew1a6,Moon River,JJ Heller,"I Dream of You, Vol. 2",2018-11-02,60,acoustic
2SZDu4esDLUISRnpYQE17b,I'll Be - Acoustic Version,Edwin McCain,Messenger,1999-06-04,61,acoustic
2bN0VoXCagktb6yAi9942I,Best I Ever Had,Gavin DeGraw,Make A Move,2013-10-09,56,acoustic
17O2PjGN9JjxHweAvjjSa2,The Power of Love,Gabrielle Aplin,100 Greatest Christmas Songs Ever (Top Xmas Pop Hits),2019-10-04,65,acoustic
68A8M94uf0m5bM5sxf3Tn8,Alone with You,Canyon City,Midnight Waves,2016-09-09,61,acoustic
21F39lpBdWHu5aRy68V8xj,American Music,Violent Femmes,Why Do Birds Sing?,1991-04-30,53,acoustic
3JEye8rsrvGdlrBvZUgNIL,Atlas Hands,Benjamin Francis Leftwich,Last Smoke Before The Snowstorm,2011-07-03,61,acoustic
0derfNUOGmmHPQq5JppEpJ,Love Is Christmas,Sara Bareilles,Love Is Christmas,2011-11-18,59,acoustic
3kEJ2teFzjpSrDgpKVgPPr,A Reminder (Remix),Trevor Hall,A Reminder (Remix),2018-08-10,55,acoustic
4XI5GjQ6zcJXsDnuyOGGEa,Look For The Good - Single Version,Jason Mraz,Look For The Good,2020-04-17,62,acoustic
4xYUnLUwwWMndNlCQi4CqX,When A Heart Breaks,Ben Rector,Into the Morning,2010-02-16,54,acoustic
2AcN6OGdjrnvNNoLTLFSy6,You Are Gold,The National Parks,Until I Live,2015-08-04,54,acoustic
6XDEKwqZGTxpPkMgP2Y4ZU,The Thanksgiving Song,Ben Rector,A Ben Rector Christmas,2020-11-13,53,acoustic
1XU8WnwGs6oqpt1qicvw34,Take The World,Johnnyswim,Diamonds,2014-04-29,54,acoustic
6GxexyfupoH665lm63C0zs,When He Sees Me,Sara Bareilles,What's Inside: Songs from Waitress,2015-11-06,55,acoustic
5UcsxVPmXd974EkMtowmNV,Fortune - Acoustic,William Fitzsimmons,Acoustic Sessions,2014-08-05,56,acoustic
08kTO4EW0jb07zNsCNM83w,Chariot,Gavin DeGraw,Chariot - Stripped,2004-07-26,58,acoustic
5mb6SzBnxv1ywFSH9V3uxd,Delicate,Damien Rice,O,2003-06-03,52,acoustic
24w0AeGooUIswDDJl5uA3c,Fairies Wear Boots,Brownout,"Brownout Presents Brown Sabbath, Vol. II",2016-10-28,38,afrobeat
5BudpQ0Ct9sss8c9Fqv9MJ,Al otro lado del río,Jorge Drexler,Al otro lado del rio,2005-03-15,54,afrobeat
1pscjrBlPPkzYwNgOmSj1T,Fade Away,Limoblaze,Fade Away,2021-05-07,42,afrobeat
4xDZg7h0K8eHTI8XZKvNGE,See You On The Other Side,Ikebe Shakedown,See You On The Other Side,2020-03-20,39,afrobeat
4Q0Qx5khaN6qJZ5AN7durj,Come On Over feat. Afrodyete,Breakestra,Dusk Till Dawn,2009-09-28,41,afrobeat
47ZKAaOco4DebMlGRzcvUn,Ma Jaiye Oni,King Sunny Ade,Juju Music,1982,35,afrobeat
0WEMvMJZUrCUJJtu7rOPjB,The Wrangler,The Budos Band,The Wrangler,2020-09-30,39,afrobeat
52iNHmkGXRi5e1zCrOGM0V,Buster,Whitefield Brothers,In The Raw,2009-03-10,37,afrobeat
0nIfIiTrlOeiFEYpVCJZtY,Yègellé Tezeta (My Own Memory),Mulatu Astatke,"Ethiopiques, Vol. 4: Ethio Jazz 1969-1974",1998-10-06,39,afrobeat
25wkmsggPrmVeDHv0QBMgW,Universos paralelos (feat. Ana Tijoux),Jorge Drexler,Bailar en la cueva,2014-03-25,55,afrobeat
6J0HEZmMPkLGLljiW3mBJZ,Villa,El Michels Affair,Adult Themes,2020-05-08,40,afrobeat
6eNOgE9gdpOx8Tztf4tbCF,Yèkèrmo Sèw (A Man of Experience and Wisdom),Mulatu Astatke,"Ethiopiques, Vol. 4: Ethio Jazz 1969-1974",1998-10-06,40,afrobeat
5GKQp4zdAk3AImdUyo2WJq,Dilo Como Yo - Te Están Llamando,Chico Mann,Manifest Tone EP,2012-11-12,42,afrobeat
1V0wTSjfNFwg9FO5eZ8F4a,Hihache - Remastered,Lafayette Afro Rock Band,Afro Funk Explosion!,1973,35,afrobeat
6uNwAMSg71BKiWIj09PMia,Chances,Monophonics,It's Only Us,2020-03-13,41,afrobeat
43q9SYFiYHMNgUDNzxm3WI,Body and Soul,William Onyeabor,World Psychedelic Classics 5: Who Is William Onyeabor?,2013-10-29,35,afrobeat
4KGEUXG6PFnHbPbqnuwj5e,Origin of Man,The Budos Band,The Budos Band II,2007-07-07,41,afrobeat
0pRthvmFRsZiqUtc7Lv4Ko,Messy Grass,El Michels Affair,The Abominable EP,2021-11-26,38,afrobeat
4rEp8rVONwpPNdFyYzRw0H,Your Love,Limoblaze,Afrobeats Rap and Jesus,2019-12-13,42,afrobeat
2YEs2mLzFu8RcdAHFQghhv,Il n'est jamais trop tard,Cheikh Lô,Jamm,2010-08-23,46,afrobeat
5787WaGd5DQvL14A6SJ8cG,Quimera,Jorge Drexler,Salvavidas de hielo,2017-09-22,49,afrobeat
7LLY4Lp4FdMTODFtDzWvO0,Looku Looku,Marizu,Looku Looku,2019-06-09,42,afrobeat
563EHELbGcAwXlAHbWmK3f,La trama y el desenlace,Jorge Drexler,Amar la trama,2010-03-15,57,afrobeat
40dO8vPGa93ccLunHyN9cK,Sonora,The Bongo Hop,"Satingarona, Pt. 2",2019-02-22,46,afrobeat
1YbG5Q7Itfqk73XRpYnCpk,A Shot in the Dark,Dos Santos,City of Mirrors,2021-10-15,34,afrobeat
