track_id,track_name,artist_name,album,popularity_score,genre
3NVGIampibL0YVG3wwaX8G,Alabama Haint,Penny and Sparrow,Alabama Haint,54,acoustic
4ahfLYf0VLVVvN3sdOyQN2,HARD LOVE (feat. Lauren Daigle),NEEDTOBREATHE,The Shack: Music From and Inspired By the Original Motion Picture,55,acoustic
3g61xRaqII8q1wlQDzv550,Beautiful Soul,Boyce Avenue,"Cover Sessions, Vol. 4",67,acoustic
17apvgam6zK9bJ3Mww7JoB,The Best Is Yet To Come,Ben Rector,The Best Is Yet To Come,50,acoustic
6J56Td7qsOpP0YighOsWL6,Misanthropic Drunken Loner,Days N Daze,Rogue Taxidermy,54,acoustic
0ngtyvPUKR4YTtkVKvZP02,Dream,Priscilla Ahn,A Good Day,57,acoustic
14J3PO0VnhtcRa31r7Aj1L,I Could Not Ask for More,Edwin McCain,Messenger,59,acoustic
60S0LkuUyzHzX29KWew1a6,Moon River,JJ Heller,"I Dream of You, Vol. 2",60,acoustic
2SZDu4esDLUISRnpYQE17b,I'll Be - Acoustic Version,Edwin McCain,Messenger,61,acoustic
2bN0VoXCagktb6yAi9942I,Best I Ever Had,Gavin DeGraw,Make A Move,56,acoustic
17O2PjGN9JjxHweAvjjSa2,The Power of Love,Gabrielle Aplin,100 Greatest Christmas Songs Ever (Top Xmas Pop Hits),65,acoustic
68A8M94uf0m5bM5sxf3Tn8,Alone with You,Canyon City,Midnight Waves,61,acoustic
21F39lpBdWHu5aRy68V8xj,American Music,Violent Femmes,Why Do Birds Sing?,53,acoustic
3JEye8rsrvGdlrBvZUgNIL,Atlas Hands,Benjamin Francis Leftwich,Last Smoke Before The Snowstorm,61,acoustic
0derfNUOGmmHPQq5JppEpJ,Love Is Christmas,Sara Bareilles,Love Is Christmas,59,acoustic
3kEJ2teFzjpSrDgpKVgPPr,A Reminder (Remix),Trevor Hall,A Reminder (Remix),55,acoustic
4XI5GjQ6zcJXsDnuyOGGEa,Look For The Good - Single Version,Jason Mraz,Look For The Good,62,acoustic
4xYUnLUwwWMndNlCQi4CqX,When A Heart Breaks,Ben Rector,Into the Morning,54,acoustic
2AcN6OGdjrnvNNoLTLFSy6,You Are Gold,The National Parks,Until I Live,54,acoustic
6XDEKwqZGTxpPkMgP2Y4ZU,The Thanksgiving Song,Ben Rector,A Ben Rector Christmas,53,acoustic
1XU8WnwGs6oqpt1qicvw34,Take The World,Johnnyswim,Diamonds,54,acoustic
6GxexyfupoH665lm63C0zs,When He Sees Me,Sara Bareilles,What's Inside: Songs from Waitress,55,acoustic
5UcsxVPmXd974EkMtowmNV,Fortune - Acoustic,William Fitzsimmons,Acoustic Sessions,56,acoustic
08kTO4EW0jb07zNsCNM83w,Chariot,Gavin DeGraw,Chariot - Stripped,58,acoustic
5mb6SzBnxv1ywFSH9V3uxd,Delicate,Damien Rice,O,52,acoustic
24w0AeGooUIswDDJl5uA3c,Fairies Wear Boots,Brownout,"Brownout Presents Brown Sabbath, Vol. II",38,afrobeat
5BudpQ0Ct9sss8c9Fqv9MJ,Al otro lado del río,Jorge Drexler,Al otro lado del rio,54,afrobeat
1pscjrBlPPkzYwNgOmSj1T,Fade Away,Limoblaze,Fade Away,42,afrobeat
4xDZg7h0K8eHTI8XZKvNGE,See You On The Other Side,Ikebe Shakedown,See You On The Other Side,39,afrobeat
4Q0Qx5khaN6qJZ5AN7durj,Come On Over feat. Afrodyete,Breakestra,Dusk Till Dawn,41,afrobeat
47ZKAaOco4DebMlGRzcvUn,Ma Jaiye Oni,King Sunny Ade,Juju Music,35,afrobeat
0WEMvMJZUrCUJJtu7rOPjB,The Wrangler,The Budos Band,The Wrangler,39,afrobeat
52iNHmkGXRi5e1zCrOGM0V,Buster,Whitefield Brothers,In The Raw,37,afrobeat
0nIfIiTrlOeiFEYpVCJZtY,Yègellé Tezeta (My Own Memory),Mulatu Astatke,"Ethiopiques, Vol. 4: Ethio Jazz 1969-1974",39,afrobeat
25wkmsggPrmVeDHv0QBMgW,Universos paralelos (feat. Ana Tijoux),Jorge Drexler,Bailar en la cueva,55,afrobeat
6J0HEZmMPkLGLljiW3mBJZ,Villa,El Michels Affair,Adult Themes,40,afrobeat
6eNOgE9gdpOx8Tztf4tbCF,Yèkèrmo Sèw (A Man of Experience and Wisdom),Mulatu Astatke,"Ethiopiques, Vol. 4: Ethio Jazz 1969-1974",40,afrobeat
5GKQp4zdAk3AImdUyo2WJq,Dilo Como Yo - Te Están Llamando,Chico Mann,Manifest Tone EP,42,afrobeat
1V0wTSjfNFwg9FO5eZ8F4a,Hihache - Remastered,Lafayette Afro Rock Band,Afro Funk Explosion!,35,afrobeat
6uNwAMSg71BKiWIj09PMia,Chances,Monophonics,It's Only Us,41,afrobeat
43q9SYFiYHMNgUDNzxm3WI,Body and Soul,William Onyeabor,World Psychedelic Classics 5: Who Is William Onyeabor?,35,afrobeat
4KGEUXG6PFnHbPbqnuwj5e,Origin of Man,The Budos Band,The Budos Band II,41,afrobeat
0pRthvmFRsZiqUtc7Lv4Ko,Messy Grass,El Michels Affair,The Abominable EP,38,afrobeat
4rEp8rVONwpPNdFyYzRw0H,Your Love,Limoblaze,Afrobeats Rap and Jesus,42,afrobeat
2YEs2mLzFu8RcdAHFQghhv,Il n'est jamais trop tard,Cheikh Lô,Jamm,46,afrobeat
5787WaGd5DQvL14A6SJ8cG,Quimera,Jorge Drexler,Salvavidas de hielo,49,afrobeat
7LLY4Lp4FdMTODFtDzWvO0,Looku Looku,Marizu,Looku Looku,42,afrobeat
563EHELbGcAwXlAHbWmK3f,La trama y el desenlace,Jorge Drexler,Amar la trama,57,afrobeat
40dO8vPGa93ccLunHyN9cK,Sonora,The Bongo Hop,"Satingarona, Pt. 2",46,afrobeat
1YbG5Q7Itfqk73XRpYnCpk,A Shot in the Dark,Dos Santos,City of Mirrors,34,afrobeat
5RoIXwyTCdyUjpMMkk4uPd,Sweet Disposition,The Temper Trap,Conditions,66,altrock
0xMEF2WiqKWTIG7Krjungw,The Distance,CAKE,Fashion Nugget,67,altrock
03wKMRNYVvw6s9nm4I4jUS,Wolf Like Me,TV On The Radio,Return To Cookie Mountain,66,altrock
1GU6oaDhWaypMzfP51BYKo,Fvck Somebody,The Wrecks,Infinitely Ordinary,66,altrock
6u1yKoh00WaoSpNp46RzKF,Cumbersome,Seven Mary Three,American Standard,66,altrock
0eKyHwckh9vQb8ncZ2DXCs,With Arms Wide Open,Creed,Human Clay,67,altrock
3Uvx1TO0Kg5HgGPk58lHXv,How's It Going to Be,Third Eye Blind,Third Eye Blind,67,altrock
6dJODklApmve5IzgKWUqV2,Machinehead,Bush,Sixteen Stone (Remastered),65,altrock
1sjrDQXqAa9V07FjKIlAQ4,Hemorrhage (In My Hands),Fuel,Something Like Human,66,altrock
41d2Q6DHcM20OdzynkRtvf,Daft Pretty Boys,Bad Suns,Disappear Here,66,altrock
6CES1554HcWMIVroJfmmBm,Way It Goes,Hippo Campus,Landmark,66,altrock
1ng36571Iyov4HBxUClySn,Pepper,Butthole Surfers,Electriclarryland,67,altrock
28C4nmrd7BTu0XbOmaTHZr,Greek Tragedy,The Wombats,Glitterbug (Deluxe Edition),64,altrock
27IRo2rYeizhRMDaNVplNM,Hook,Blues Traveler,Four,67,altrock
1sxUaLi0G2vB7dl4ogtCxH,Never Let You Go - 2008 Remaster,Third Eye Blind,Blue,67,altrock
51UtgWS4z1eMPuLQOzPtNH,Amber,311,Greatest Hits '93 - '03,66,altrock
3cbTV3IZZvSBYVcl0xuZbY,Bound For The Floor,Local H,As Good As Dead,66,altrock
1euszbbvkUzQzIhZUWFmXG,My Name Is Human,Highly Suspect,The Boy Who Died Wolf,67,altrock
1BwhFXqoIsePt21WyWIttb,I Wanna Get Better,Bleachers,Strange Desire,67,altrock
0Xmz2shisTG8peoqnFj5tu,Sarah,Alex G,Trick,66,altrock
3IXRdLsQib8m0hBbQpe7T8,Hang Me Up To Dry,Cold War Kids,Robbers & Cowards,65,altrock
6w7ily4cFWEPO0XWFQYeUO,Bulletproof,Godsmack,When Legends Rise,66,altrock
6YIggUJW3ttAAPRdnki8RM,Disarm - Remastered,The Smashing Pumpkins,Siamese Dream (Deluxe Edition),65,altrock
1nFtiJxYdhtFfFtfXBv06s,Something In The Way,Nirvana,Nevermind (Remastered),66,altrock
5omWAB5iNMHvbAfBSzkdu8,You're Going Down,Sick Puppies,Tri-polar,65,altrock
56SkdBKyR2zOkjk6wVFI9s,Possum Kingdom,Toadies,Rubberneck,67,alternative
0qy5D3OJre7SPJNMOL9I71,Broccoli,Shelley FKA DRAM,Broccoli,67,alternative
7hm4HTk9encxT0LYC0J6oI,Someday,The Strokes,Is This It,67,alternative
3HfEgAaf0koxBpBB8NvGda,When You Sleep,my bloody valentine,Loveless,67,alternative
7qCZgvV98j6RjUULW1s1it,Inside Out,Spoon,They Want My Soul,66,alternative
7wpYSigAhQeZp3cdsMQ3Af,Glycerine,Bush,Sixteen Stone (Remastered),67,alternative
